GAME_ID,GAME_DATE,TEAM_ID_HOME,TEAM_ABBREVIATION_HOME,SEASON_ID_HOME,PTS_5G_AVG_HOME,FG_PCT_5G_AVG_HOME,FG3_PCT_5G_AVG_HOME,FT_PCT_5G_AVG_HOME,REB_5G_AVG_HOME,AST_5G_AVG_HOME,TOV_5G_AVG_HOME,PLUS_MINUS_5G_AVG_HOME,WIN_5G_AVG_HOME,GAME_DATE_AWAY,TEAM_ID_AWAY,TEAM_ABBREVIATION_AWAY,SEASON_ID_AWAY,PTS_5G_AVG_AWAY,FG_PCT_5G_AVG_AWAY,FG3_PCT_5G_AVG_AWAY,FT_PCT_5G_AVG_AWAY,REB_5G_AVG_AWAY,AST_5G_AVG_AWAY,TOV_5G_AVG_AWAY,PLUS_MINUS_5G_AVG_AWAY,WIN_5G_AVG_AWAY,TARGET_WIN_HOME,TARGET_PLUS_MINUS_HOME,DIFF_PTS_5G_AVG,DIFF_FG_PCT_5G_AVG,DIFF_FG3_PCT_5G_AVG,DIFF_FT_PCT_5G_AVG,DIFF_REB_5G_AVG,DIFF_AST_5G_AVG,DIFF_TOV_5G_AVG,DIFF_PLUS_MINUS_5G_AVG,DIFF_WIN_5G_AVG,ELO_HOME,ELO_AWAY,DIFF_ELO
21400019,2014-10-30,1610612742,DAL,22014,100.0,0.487,0.381,0.842,33.0,17.0,10.0,-1.0,0.0,2014-10-30,1610612762,UTA,22014,93.0,0.469,0.167,0.824,34.0,16.0,13.0,-11.0,0.0,1,18.0,7.0,0.018000000000000016,0.214,0.018000000000000016,-1.0,1.0,-3.0,10.0,0.0,1500.0,1500.0,0.0
21400017,2014-10-30,1610612750,MIN,22014,101.0,0.453,0.5,0.739,47.0,20.0,23.0,-4.0,0.0,2014-10-30,1610612765,DET,22014,79.0,0.369,0.231,0.579,45.0,15.0,15.0,-10.0,0.0,1,6.0,22.0,0.08400000000000002,0.269,0.16000000000000003,2.0,5.0,8.0,6.0,0.0,1500.0,1500.0,0.0
21400016,2014-10-30,1610612753,ORL,22014,84.0,0.381,0.364,0.762,56.0,17.0,18.0,-17.0,0.0,2014-10-30,1610612764,WAS,22014,95.0,0.48,0.316,0.708,36.0,20.0,14.0,-12.0,0.0,0,-7.0,-11.0,-0.09899999999999998,0.04799999999999999,0.05400000000000005,20.0,-3.0,4.0,-5.0,0.0,1500.0,1500.0,0.0
21400024,2014-10-31,1610612756,PHX,22014,119.0,0.549,0.5,0.722,40.0,23.0,14.0,20.0,1.0,2014-10-31,1610612759,SAS,22014,101.0,0.529,0.5,0.813,38.0,23.0,20.0,1.0,1.0,1,5.0,18.0,0.020000000000000018,0.0,-0.09099999999999997,2.0,0.0,-6.0,19.0,0.0,1500.0,1500.0,0.0
21400026,2014-10-31,1610612747,LAL,22014,94.5,0.392,0.304,0.8175,37.0,18.0,12.0,-19.0,0.0,2014-10-31,1610612746,LAC,22014,93.0,0.391,0.233,0.72,33.0,17.0,11.0,3.0,1.0,0,-7.0,1.5,0.0010000000000000009,0.07099999999999998,0.09750000000000003,4.0,1.0,1.0,-22.0,-1.0,1500.0,1500.0,0.0
21400021,2014-10-31,1610612754,IND,22014,103.0,0.469,0.32,0.679,50.0,22.0,17.0,12.0,1.0,2014-10-31,1610612763,MEM,22014,105.0,0.524,0.267,0.75,33.0,21.0,17.0,4.0,1.0,0,-8.0,-2.0,-0.05500000000000005,0.05299999999999999,-0.07099999999999995,17.0,1.0,0.0,8.0,0.0,1500.0,1500.0,0.0
21400023,2014-10-31,1610612749,MIL,22014,106.0,0.488,0.5,0.875,35.0,25.0,14.0,-2.0,0.0,2014-10-31,1610612755,PHI,22014,91.0,0.382,0.286,0.567,42.0,17.0,11.0,-12.0,0.0,1,12.0,15.0,0.10599999999999998,0.21400000000000002,0.30800000000000005,-7.0,8.0,3.0,10.0,0.0,1500.0,1500.0,0.0
21400025,2014-10-31,1610612758,SAC,22014,77.0,0.308,0.167,0.743,50.0,13.0,26.0,-18.0,0.0,2014-10-31,1610612757,POR,22014,106.0,0.448,0.379,0.773,42.0,23.0,10.0,17.0,1.0,1,9.0,-29.0,-0.14,-0.212,-0.030000000000000027,8.0,-10.0,16.0,-35.0,-1.0,1500.0,1500.0,0.0
21400022,2014-10-31,1610612741,CHI,22014,104.0,0.507,0.292,0.833,47.0,21.0,15.0,24.0,1.0,2014-10-31,1610612739,CLE,22014,90.0,0.457,0.375,0.85,33.0,22.0,19.0,-5.0,0.0,0,-6.0,14.0,0.04999999999999999,-0.08300000000000002,-0.017000000000000015,14.0,-1.0,-4.0,29.0,1.0,1500.0,1500.0,0.0
21400030,2014-11-01,1610612755,PHI,22014,86.0,0.377,0.2515,0.556,42.0,18.5,13.5,-12.0,0.0,2014-11-01,1610612748,MIA,22014,107.0,0.481,0.321,0.87,44.0,20.0,14.0,12.0,1.0,0,-18.0,-21.0,-0.10399999999999998,-0.0695,-0.31399999999999995,-2.0,-1.5,-0.5,-24.0,-1.0,1492.2439238625811,1500.0,-7.756076137418859
